City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
461,Medicine hat,50.0501,-110.6683,30.85,91,100,14.97,CA,1675886890
462,Asmara,15.3333,38.9333,51.12,88,82,5.64,ER,1675886891
463,Toropets,56.4978,31.6353,27.88,97,93,6.67,RU,1675886891
464,Pabna,24.0,89.25,64.49,52,0,4.59,BD,1675886868
465,Udachnyy,66.4167,112.4,-35.55,65,100,4.56,RU,1675886893
466,Pochutla,15.7432,-96.4661,90.82,36,0,8.88,MX,1675886894
467,Rosarito,32.3333,-117.0333,74.62,30,1,5.46,MX,1675886896
468,Guanica,17.9716,-66.908,86.11,65,40,16.51,PR,1675886897
469,Kenai,60.5544,-151.2583,22.14,86,100,4.61,US,1675886898
470,Loreto,22.2667,-101.9667,73.53,22,6,12.57,MX,1675886899
471,Maarianhamina,60.0973,19.9348,37.26,93,100,18.41,AX,1675886900
472,Kaiyuan,23.6977,103.3037,51.35,81,1,4.68,CN,1675886901
473,Kurikka,62.6167,22.4167,36.55,82,100,18.25,FI,1675886902
474,Santiago,-33.4569,-70.6483,97.54,27,0,19.57,CL,1675886613
475,Kabo,7.6994,18.629,79.02,14,5,5.93,CF,1675886904
476,Yumen,40.2833,97.2,24.48,55,0,0.65,CN,1675886904
477,Mombetsu,44.3525,143.3525,18.59,84,99,10.65,JP,1675886905
478,Tumen,42.9661,129.8425,12.02,86,2,4.29,CN,1675886906
479,Sanmenxia,34.7747,111.1814,32.99,89,99,6.89,CN,1675886907
480,Birao,10.2849,22.7882,70.27,14,8,6.31,CF,1675886908
481,Porto novo,6.4965,2.6036,81.16,79,70,8.7,BJ,1675886908
482,Saryg-sep,51.5,95.6,-5.42,100,100,1.12,RU,1675886909
483,Juegang,32.3174,121.1855,46.98,86,100,12.97,CN,1675886910
484,Masalipit,15.1481,121.0373,72.64,79,100,9.01,PH,1675886911
485,Tibati,6.4667,12.6333,75.25,18,10,6.42,CM,1675886912
486,Touho,-20.7833,165.2333,79.5,80,100,1.7,NC,1675886913
487,Aviles,43.5547,-5.9248,49.91,87,20,4.61,ES,1675886914
488,Pontal do parana,-25.6533,-48.5128,85.98,67,36,7.65,BR,1675886915
489,Turukhansk,65.8167,87.9833,-7.46,99,100,5.41,RU,1675886621
490,Voloshka,61.3314,40.0858,12.63,100,63,3.98,RU,1675886917
491,Gap,44.6667,6.0,18.82,65,77,3.8,FR,1675886918
492,Rancagua,-34.1708,-70.7444,89.46,31,0,16.11,CL,1675886918
493,Petrodvorets,59.885,29.8958,33.89,93,100,9.8,RU,1675886919
494,Saint-augustin,51.226,-58.6502,21.7,96,100,2.82,CA,1675886920
495,Niquelandia,-14.4739,-48.4597,83.75,66,82,3.69,BR,1675886920
496,Muros,42.7762,-9.0603,47.08,74,0,9.42,ES,1675886921
497,Son la,21.3167,103.9,59.9,79,6,2.04,VN,1675886921
498,Nara,34.6851,135.8049,36.91,66,18,4.47,JP,1675886922
499,Tamiahua,21.2667,-97.45,80.6,66,52,8.79,MX,1675886922
500,San rafael,-34.6177,-68.3301,94.53,22,0,9.1,AR,1675886923
501,Ketchikan,55.3422,-131.6461,40.98,93,100,6.91,US,1675886924
502,Alice springs,-23.7,133.8833,69.35,78,7,5.75,AU,1675886924
